,xtsne,ytsne,label
9940,-3.7847044,6.486729,1.0
35693,1.7184843,-2.0626528,5.0
32438,3.8793979,-0.0043737693,5.0
61709,-3.1683102,5.1620007,1.0
13933,1.4585637,7.5342016,2.0
65120,-4.6566358,-3.0642493,4.0
14599,1.0676397,7.2075243,2.0
44123,-7.003654,1.9646637,7.0
49905,0.5138272,-0.38037997,8.0
41465,4.192193,-3.9353216,6.0
300,6.1245737,0.24506004,0.0
42344,-3.6696558,6.985016,7.0
16371,-5.4008946,2.5168016,2.0
61350,-1.4061418,-0.8557416,1.0
56787,-3.508565,-0.8297273,9.0
9370,-1.6214423,-0.41224775,1.0
30797,3.9297013,-0.60389197,5.0
27375,-3.9478045,-5.4507756,4.0
41422,4.803865,-4.4742403,6.0
65757,3.2394288,-1.204867,5.0
12062,-4.2858076,5.5541415,1.0
2268,7.4546833,1.193847,0.0
65316,3.0884035,0.9563941,5.0
27411,-1.9770283,-5.6070256,4.0
25733,-4.187332,-2.0918543,4.0
29839,-3.6220214,-5.2871237,4.0
11829,-1.7752182,0.107317,1.0
54258,-0.90712893,-5.4061403,9.0
13911,2.9192662,6.5854983,2.0
63599,3.1088903,2.1334546,3.0
15040,-0.88863885,6.3872414,2.0
35865,0.09460149,-3.6268606,5.0
14891,-0.19933704,4.0673647,2.0
48136,-6.823277,-2.7425652,7.0
41891,2.3465133,-4.290782,6.0
68647,-0.39691016,1.9499601,8.0
42803,-4.0149803,-1.5529906,7.0
43346,-6.1805825,-4.5876966,7.0
53561,-0.26601183,2.4919229,8.0
45318,-4.658641,1.6725447,7.0
66175,2.8442297,-3.6061184,6.0
1535,7.765893,0.9466769,0.0
63632,2.4356298,1.892136,3.0
51174,0.004396629,0.9375682,8.0
4332,6.4669523,-0.3629542,0.0
53317,-0.7186052,2.4302897,8.0
54415,-1.4102417,-7.15728,9.0
65479,0.61577123,-3.6923296,5.0
56536,-4.2574525,-1.2889103,9.0
43366,-7.1730824,2.362384,7.0
23064,-5.7310567,2.345598,3.0
36810,3.6997488,-4.165325,6.0
33571,3.6241233,-0.39865312,5.0
43330,-6.991909,2.8992934,7.0
39767,3.0432673,-3.9484453,6.0
57208,-2.5831249,-6.3910584,9.0
65361,2.8443453,-1.4558729,5.0
1525,6.340204,1.8256142,0.0
38628,2.1637967,-4.147467,6.0
52653,-0.2289721,-0.53158957,8.0
29678,-2.2719882,-4.2856174,4.0
18460,0.5463744,4.3284936,2.0
30319,-5.4914546,-2.3285367,4.0
10676,-4.5302353,6.279035,1.0
18921,2.1584225,0.23562449,3.0
39777,3.569074,-4.450065,6.0
4939,7.134594,0.13133675,0.0
67322,-4.704819,1.7291318,7.0
26653,-3.1836443,-3.6010277,4.0
47030,-5.977143,3.5474913,7.0
61370,-2.4279795,3.3446562,1.0
67572,-3.6170604,-0.57898384,7.0
5718,5.704606,-1.0379252,0.0
67606,-7.054288,-2.4866085,7.0
34277,0.55505604,-3.2766943,5.0
25954,-4.641915,-3.6939795,4.0
31749,-0.48008752,-4.9405413,5.0
7899,-3.3495436,5.693376,1.0
66214,3.1002955,-3.7337596,6.0
33407,-0.044538297,-4.4420753,5.0
23587,1.6232294,2.9992163,3.0
13759,2.0368512,6.4671316,2.0
59274,-3.2362862,-4.540467,9.0
57863,-3.9507782,-4.4059315,9.0
36828,2.2024584,-5.2023277,6.0
66602,4.5837455,-4.697567,6.0
14532,1.0578651,6.9635706,2.0
24490,1.8705955,4.690714,3.0
50777,0.4938912,1.8998774,8.0
35391,-0.07090302,-3.688761,5.0
33756,0.732755,-1.7680459,5.0
46164,-4.1118693,2.1280117,7.0
23584,3.655502,2.9700096,3.0
56457,-3.572175,-3.712564,9.0
26313,-1.2673283,-5.778259,4.0
39695,2.9362442,-2.9196362,6.0
20861,4.6164355,2.7701547,3.0
10347,-1.2685158,-0.96084505,1.0
25128,-1.101867,-7.378693,4.0
